text,label
"I need help with my technical issue on my account.", "Technical Support"
"I have a billing question, can you help me?", "Billing"
"I want to speak with someone from Sales about a new product.", "Sales"
"I need help understanding my health insurance policy.", "Insurance"
"Can I make an appointment for a medical consultation?", "Appointments"
"I need a copy of my medical records from last year.", "Medical Records"
"Can someone assist me with a patient support issue?", "Patient Support"
"I need a prescription filled for my medication.", "Pharmacy"
"I have a question regarding my nursing services.", "Nursing Services"
"I need lab results for my recent tests.", "Lab Services"
"I submitted a health insurance claim and need to check the status.", "Health Insurance Claims"
"I need assistance with my IT Support issue.", "IT Support"
"I have a general inquiry about your services.", "General"
